ID	ctl1	ctl2	exp1	exp2
ADAM2	2.829371	2.817533	3.76585	3.74359
ADAM20	4.754326	4.791068	6.47775	6.34803
ADAM21	3.890558078	3.845489018	5.12013	5.03182
ADAM22	2.517064067	2.492509695	3.75415	3.49365
ADAM23	3.114925834	3.024071764	4.22674	4.09069
ADAM28	8.099101	8.062994	8.72073	8.98965
ADAM29	3.5033	3.334401	4.2396	4.15044
ADAM30	3.987605	4.000135	5.08939	4.81787
ADAM32	3.665750757	3.721717676	5.27042	5.31013
ADAM33	4.943096	4.875345	5.5326	6.27957
ADAM3A	2.898305	3.002188	4.07392	4.08954
ADAM5	3.801916	3.586156	4.82653	4.61089
ADAM6	4.049596	3.995782	5.24507	5.33827
ADAM7	4.631373	4.56741	4.85589	4.6548
ADAM8	5.092495705	5.062262201	5.94502	6.08156
ADAM9	7.246014553	7.554416168	8.44365	9.45125
ADAMDEC1	7.434964	7.388636	9.38645	9.15225
ADAMTS1	7.993956	7.819241	10.1943	11.7091
ADAMTS10	6.785473	7.15811	6.89763	7.10793
ADAMTS12	4.282184	3.967161	5.73855	5.8328
ADAMTS13	5.666623	5.696083	6.6689	6.79636
ADAMTS14	5.217363	5.507246	6.90351	7.23296
ADAMTS15	4.574221245	4.550293145	6.3237	6.05447
ADAMTS16	4.371341	4.545361	7.93766	8.88985
ADAMTS17	4.409642829	3.901915735	4.93413	4.83359
ADAMTS18	4.352606948	4.504384266	5.25774	5.57975
ADAMTS19	3.490375885	3.092605102	4.41572	4.44277
ADAMTS2	6.275006	6.032317	6.96462	7.62232
ADAMTS20	2.764328772	2.747701029	4.08222	3.93079
ADAMTS3	4.057602	4.644849	6.39587	7.12871
ADAMTS4	4.812836199	4.286591499	7.06387	7.69092
ADAMTS5	4.876867886	5.9521105	3.61052	3.91018
ADAMTS6	4.30969504	4.612045888	4.58995	4.47765
ADAMTS7	5.749196	5.551748	6.09089	6.06586
ADAMTS8	2.89295	2.992433	5.55516	5.27095
ADAMTS9	5.80966273	5.699245619	5.89621	7.73036
ADAMTSL1	3.321404807	3.143312286	4.22902	4.42401
ADAMTSL2	5.043231	5.145074	6.8857	6.86543
ADAMTSL3	5.370926907	5.315821202	6.25744	6.33313
ADAMTSL4	5.078766	4.844083	6.50481	6.07958
ADAMTSL5	4.927965	4.787381	6.73947	6.5958
ADAP1	5.971852	6.09713	7.2272	6.92066
