"GeneID","P.adj.Val_combined","log2FC","Ensemble_score"
1296,6.17463625953841e-15,1.98251457238464,3
1316,1.16051977151863e-05,-0.278070111178919,3
1317,1.55981238696079e-10,0.253010119249522,3
1349,2.09135443626182e-14,-0.317413105275708,3
1362,0.00133717212554106,-0.154897068228344,3
1366,1.37860463576441e-07,0.361746027732152,3
1390,5.99093758023869e-07,0.281334559126951,3
1435,4.70396605199947e-20,-0.340930661996092,3
1454,1.24478770775763e-08,0.257780362734297,3
1462,1.24593283774847e-67,-0.899807716169975,3
1489,7.64232192409471e-08,0.477555925581137,3
1490,0.00012172015567743,0.520887182599345,3
1491,1.16774681666161e-06,0.202037864857917,3
1496,1.45213067556659e-08,-0.510950074217215,3
1497,0.000121914495756043,0.179244690967775,3
1508,8.65080549941796e-11,-0.202214331287358,3
1513,5.52415696752259e-31,-0.374800612263837,3
1514,4.55729984148955e-17,0.310665980721106,3
1545,1.11324605979544e-17,-0.378439720223079,3
1595,2.50174910821673e-14,-0.293893491964125,3
1604,5.55298964513962e-05,0.167360620421559,3
1622,1.75934903945712e-28,-0.426733723773543,3
1627,4.8096164952932e-16,0.339612891085878,3
1633,2.21178312191961e-12,-0.46862366944345,3
1642,7.87588274730935e-09,-0.206414116186555,3
1645,8.40133725602633e-92,0.791237464966741,3
1646,7.56505662886018e-19,0.465131207252213,3
1647,2.40439363267762e-08,0.236236496908781,3
1654,0.00534251963040919,0.130031011369246,2
1662,8.9735696283975e-124,1.09544644842484,3
1687,4.57635837447164e-12,-0.263231905179429,3
1717,6.26468012073779e-22,-0.397340568956727,3
1718,2.5868573392339e-37,-0.479056341986722,3
1727,4.56159059961063e-07,-0.199111777248568,3
1728,3.38312730967452e-13,0.385895483066637,3
1777,1.94149518640707e-09,-0.249156634849811,3
1778,0.000104968299410057,0.150033250488293,3
1781,2.93951495143751e-08,-0.241580687024028,3
1803,7.96071121097789e-47,-0.636273105624459,3
1808,1.74224870837137e-07,-0.225881555949414,3
1809,5.08776876088136e-23,-0.410376145107686,3
1827,5.5622560950865e-28,-0.469456619890675,3
1831,1.89605356853737e-29,-0.594187821396849,3
1836,4.24984181396645e-18,-0.402083685263597,3
1839,1.56165813853292e-17,0.739160874850454,3
