"GeneID","logFC","logCPM","PValue","p.adj","fdr"
"3303",0.78528498595286,6.81038374027586,1.60181719802706e-43,8.95042056350919e-41,1
"444",0.763882046854155,11.0257358383812,3.74056708799081e-43,2.02268148696742e-40,1
"5396",-0.705669331831632,6.03307026458163,3.47719868101549e-42,1.82150879655821e-39,1
"83706",0.760611628823366,5.52593029871571,8.48551453226482e-42,4.31038424558652e-39,1
"6319",-0.770067225826127,12.5002047188106,5.84073216815311e-41,2.87965274513972e-38,1
"3304",0.76497947923987,7.72638909790796,1.12169587089019e-40,5.37228225249493e-38,1
"7849",1.04463163811933,4.18325373869979,2.28881501506858e-40,1.06576128048874e-37,1
"3673",-0.843738373865975,5.16925437312198,3.32670398885895e-40,1.50717672879034e-37,1
"623",-1.3063315255152,3.6186976577254,2.78856997609954e-39,1.23012627656202e-36,1
"54873",-1.24715958733692,3.84135929368208,5.03316158405628e-39,2.16335609316758e-36,1
"389792",-0.68797716679976,5.59647665598205,3.01489862936714e-37,1.26346864310203e-34,1
"5973",0.73514144719534,5.4436344449895,3.22770311274252e-37,1.3196582263147e-34,1
"2202",-0.703524777460555,5.47283849559928,4.46189129653585e-36,1.78082580485311e-33,1
"4803",0.853466346032049,4.95994863951609,8.94890239511857e-36,3.48861513603192e-33,1
"3397",-1.17887008322493,4.32251325259818,2.33013957151615e-35,8.87730219030117e-33,1
"2151",1.2426583271888,3.8570869688923,3.00859821735823e-35,1.12073626483502e-32,1
"2876",-0.713362496953167,7.53991347609165,4.44189076712178e-35,1.61868293324483e-32,1
"9829",0.604504886284265,5.77387516756956,5.84694351610931e-35,2.08536838639448e-32,1
"7042",-0.871512434838234,4.55794143419803,5.72032341952796e-34,1.99770378086557e-31,1
"3589",1.1029079124121,3.67459810049178,6.14790234191599e-34,2.10320993790893e-31,1
"2717",0.693499606337836,5.11016369159515,1.58099795684301e-33,5.30045375011188e-31,1
"3663",1.0339851490587,4.19151796279204,2.73998629279773e-33,9.00595886787615e-31,1
"7991",1.3606623713503,2.99137565470324,3.01016613633508e-33,9.70373364295863e-31,1
"643723",1.36483424436381,3.06877758562542,4.48852797418361e-33,1.41964517794792e-30,1
"80763",1.5750714373277,2.60318170700612,4.71533021637292e-33,1.46376074846406e-30,1
"1803",-0.635562892937177,6.00385053166982,5.33439340541424e-33,1.62582612099925e-30,1
"126014",0.86026114839952,4.73254396364845,6.94860702811467e-33,2.07999106450511e-30,1
"6016",0.633858449965921,5.56322420108728,1.86024020348364e-32,5.47073798789407e-30,1
"23024",-1.03290127731909,4.93385564045462,2.04076556172332e-32,5.89816432951174e-30,1
"2730",0.6924022256474,7.07221714161621,2.44910381019429e-32,6.95836053733675e-30,1
"9589",-0.658772109561342,7.20332711754358,3.87165455709303e-32,1.08167575567584e-29,1
"2069",0.645729403233981,8.42525110685184,3.97503740210821e-32,1.09235331100885e-29,1
"933",0.879730869836737,4.26678549684291,8.75396934855132e-32,2.36681916435106e-29,1
"51149",0.675698149144438,7.86555687595852,9.30751426150878e-32,2.47653748516939e-29,1
"6383",-0.563075144991378,6.12808593036044,1.52136149088283e-31,3.98477854244827e-29,1
"624",-0.685612683631173,5.1021060442425,1.75773608142692e-31,4.53306614353223e-29,1
"80114",-0.7799284938213,5.14580935970057,1.99709277581956e-31,5.07231306076717e-29,1
"3912",0.640050811377235,7.33592060860302,2.88556230637564e-31,7.21950461817534e-29,1
"348",1.9194223338665,2.39176599664834,3.70207085671219e-31,9.12614908398035e-29,1
"5168",0.558971314295891,6.14403130911181,3.99784185818021e-31,9.71243812589492e-29,1
