"GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","fdr"
"6548",0.139448082058438,7.34893799103789,4.2564111251583,0.00103523527473094,0.0077813187479999,-1.37544411527828,1
"166785",-0.430548120736915,2.51579159729648,-4.25560492718186,0.00103674473728135,0.00778869797315969,-0.555273455513053,1
"23568",-0.180702604924933,5.97923687835446,-4.25539415975962,0.00103713973721496,0.00778869797315969,-1.18787777058819,1
"197257",-0.392455304976084,2.64005202868696,-4.2549633516912,0.00103794760054013,0.00779013139089544,-0.567837991419158,1
"5296",-0.13193567103522,7.10732859933576,-4.2548003143468,0.00103825350251835,0.00779013139089544,-1.35556326745518,1
"548645",0.269493649145446,4.30381334467936,4.25244966344605,0.00104267433883742,0.00781982593880648,-0.83572232018951,1
"253714",-0.552691598667031,2.31077690559768,-4.25091613085381,0.0010455689250673,0.00783450462590763,-0.548622136756844,1
"10092",-0.146182516176477,7.10193274697817,-4.250796220722,0.00104579560899172,0.00783450462590763,-1.36252760680299,1
"10026",-0.188756906140855,5.380731129366,-4.25067555196246,0.00104602377839094,0.00783450462590763,-1.08274360243423,1
"3703",0.124958174700334,7.78140873887874,4.2482993963892,0.00105052729608347,0.0078647458148475,-1.43605620043348,1
"79754",0.281467357164209,4.07930499238178,4.24653910209721,0.0010538765051597,0.00788632232274204,-0.800318537027558,1
"9710",0.248444665387456,4.61443136595526,4.24560810456915,0.00105565232372282,0.00789232994007502,-0.915392695759703,1
"5608",0.298565595363898,4.3224337856965,4.24544451252941,0.00105596468473973,0.00789232994007502,-0.851547084514375,1
"105374491",0.855266899371911,1.09788592022712,4.24538317695149,0.00105608182292557,0.00789232994007502,-0.660592387685812,1
"105371453",0.30619614192591,4.948917537646,4.24491770679917,0.00105697121220619,0.00789377628662238,-0.98669831197779,1
"9435",-0.163327892297239,5.72887870729501,-4.24479252626866,0.00105721053098289,0.00789377628662238,-1.16119812802883,1
"105369388",0.905797813651819,0.614336651251766,4.24393317005665,0.001058854952761,0.00790069250212001,-0.798076297956204,1
"79576",0.183402589460915,5.98789968053295,4.24381942533073,0.00105907280726795,0.00790069250212001,-1.20124546807204,1
"6836",0.116475962594336,8.7214141965364,4.23849915143564,0.00106931466792169,0.0079735734204302,-1.54419128543654,1
