"ID","statistic","p.value"
"AKAP4",8749,6.2723317094018e-05
"AKAP6",8501,0.000434615617110296
"AKAP7",9076,3.53096823869282e-06
"AKAP8",5662,0.0428292764571752
"AKAP8L",8660,0.000130146593489265
"AKIRIN1",5420,0.0124993192519884
"AKNAD1",8583,0.000234037170435033
"AKR1C6P",9973,1.59022360984056e-10
"AKR1D1",8732,7.17746152724323e-05
"ALAS2",8947.5,1.12309832934257e-05
"ALB",9176.5,1.33466323048015e-06
"ALDH16A1",8108.5,0.00598489867327149
"ALDH18A1",7942,0.0153698657856723
"ALDH1A1",8240,0.0026534223361922
"ALDH1A2",9014.5,6.1951541942317e-06
