"ID","statistic","p.value"
"AGPS",5.68920086213422,2.1776439071874e-08
"AGR2",9.51514743298598,7.73115924525465e-20
"AGR3",69.1002186974752,1.2010836833695e-257
"AGRN",7.4454953768269,4.27067050020383e-13
"AGRP",239.443061492515,0
"AGT",3.7561199667711,0.000192924625224951
"AGTR1",-12.7988837295744,1.23844871341826e-32
"AGTR2",9.62468989952523,3.15844363198279e-20
"AGTRAP",48.7386146649155,7.25223816776322e-192
"AGXT",7.32982838761865,9.35224860552932e-13
"AGXT2",25.0797014853913,2.01654105162239e-90
"AHCTF1",-4.08082362351532,5.22435369647731e-05
"AHCY",14.1803422227417,1.35784774995635e-38
"AHCYL1",3.80969737968121,0.000156492676136865
"AHCYL2",158.509201818681,0
"AHI1",59.7152611364123,1.98977936886313e-229
"AHNAK",129.78261528205,0
"AHNAK2",6.46543785460714,2.40909064475246e-10
"AHR",6.1089416062312,2.02059740574802e-09
"AHRR",5.22201896697996,2.60287659382947e-07
"AHSA1",12.5191151197564,1.83746264755811e-31
"AHSG",8.84334622374231,1.60556323437039e-17
"AHSP",8.480758210112,2.55062961985072e-16
"AICDA",8.52633633491863,1.80990952464911e-16
"AIF1",40.6712807108044,1.52601114739225e-160
"AIF1L",-3.43727321783031,0.000636707090244675
"AIFM1",8.86751247625946,1.33141532350565e-17
"AIFM2",30.5459775553106,2.56593347851411e-116
"AIFM3",21.5772418615546,1.96747182668811e-73
"AIG1",8.59672403491029,1.06276777161314e-16
"AIM1",17.8741262498379,1.36647024264953e-55
"AIM1L",35.6163055558765,3.82802335755898e-139
"AIM2",-67.7768768522957,7.36886229990027e-254
"AIMP2",16.6597076751675,7.14391175781688e-50
"AIP",11.4680930189499,3.47942580685324e-27
"AIPL1",15.6958656560741,2.05140409269834e-45
"AIRE",14.6048366431799,1.77416217772431e-40
"AJUBA",5.81032443540334,1.11231514735938e-08
"AK1",14.8649697586432,1.21275800618563e-41
"AK2",62.2745755697814,1.8982046418808e-237
"AK3",3.3649525703036,0.000824541743014013
"AK4",-3.61765402005967,0.000327560321069881
